Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MWR03HN/A,Magic Keyboard,Magic Keyboard for iPad Pro 11‑inch (M4) - US English - White,,,,,,,"29,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MWR23HN/A,Magic Keyboard,Magic Keyboard for iPad Pro 11‑inch (M4) - US English - Black,,,,,,,"29,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MWR43HN/A,Magic Keyboard,Magic Keyboard for iPad Pro 13‑inch (M4) - US English - White,,,,,,,"33,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MWR53HN/A,Magic Keyboard,Magic Keyboard for iPad Pro 13‑inch (M4) - US English - Black,,,,,,,"33,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPhone,MWTY3ZM/A,EarPods,EarPods (Lightning Connector),,,,,,,"2,000.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector3.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector5.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector4.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector6.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/EarPods%20(Lightning%20Connector)/Apple%20EarPods%20with%20Lightning%20Connector1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPhone,MWU53ZM/A,Earpods (3.5mm Headphone,Earpods (3.5mm Headphone Plug),,,,,,,"2,000.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MWW43HN/A,AirPods Max,AirPods Max - Midnight,,,,,,,"59,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MWW53HN/A,AirPods Max,AirPods Max - Starlight,,,,,,,"59,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MWW63HN/A,AirPods Max,AirPods Max - Blue,,,,,,,"59,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MWW73HN/A,AirPods Max,AirPods Max - Orange,,,,,,,"59,900.00",,,,,,,,,,,,,,,,,,,,
