BRAND,CATEGORY,SUB CATEGORY,SKU,Description,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT
APPLE,APPLE CARE,iPhone AppleCare,SJTJ2HN/A,AppleCare+ for iPhone 15 Pro Max,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SNHA2HN/A,AppleCare+ for iPhone 16,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SNHP2HN/A,AppleCare+ for iPhone 16 Plus,,,,,,,"17,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SNHV2HN/A,AppleCare+ for iPhone 16 Pro,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SNJ22HN/A,AppleCare+ for iPhone 16 Pro Max,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,ST3V2HN/A,AppleCare+ for iPhone 16e,,,,,,,"10,900.00"
APPLE,APPLE CARE,Mac AppleCare,S9688HN/A,AppleCare+ for iMac,,,,,,,"16,900.00"
APPLE,APPLE CARE,Mac AppleCare,S9703HN/A,AppleCare+ for Mac mini,,,,,,,"9,900.00"
APPLE,APPLE CARE,Mac AppleCare,S9736HN/A,AppleCare+ for 13-inch MacBook Pro (M1),,,,,,,"22,900.00"
APPLE,APPLE CARE,Mac AppleCare,S9764HN/A,AppleCare+ for 13-inch MacBook Pro (Intel),,,,,,,"24,900.00"
APPLE,APPLE CARE,Mac AppleCare,S9775HN/A,AppleCare+ for 16-inch MacBook Pro (Intel),,,,,,,"33,900.00"
APPLE,APPLE CARE,AppleCare for MACBOOK AIR M1,S9788HN/A,AppleCare+ for 13-inch MacBook Air (M1),,,,,,,"17,900.00"
APPLE,APPLE CARE,Mac AppleCare,SCPG2HN/A,AppleCare+ for 14-inch MacBook Pro,,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SDYP2HN/A,AppleCare+ for 16-inch MacBook Pro (M1),,,,,,,"37,900.00"
APPLE,APPLE CARE,Mac AppleCare,SELQ2HN/A,AppleCare+ for Mac Studio,,,,,,,"16,900.00"
